domain,metric_id,metric_name,county_fips,county_name,period,period_end,frequency,value,unit,margin_of_error,source_ids,source_releases,retrieved_at,raw_sha256s,calculation,notes,comparability_status
displacement_pressure,median_gross_rent,Median gross rent,06001,Alameda,2024,2024-12-31,annual five-year estimate,2357.0,current dollars per month,16.0,CENSUS_ACS5_BULK,ACS5-2024-B25064,2026-08-08T18:25:52Z,cb9a8e1adbece0f5f5bb34a7503e374287fcc416120ca45b4a487aaf10dcdcce,published,ACS five-year estimate; consecutive vintages contain overlapping survey years. Reused from the verified Version 1.1 evidence layer.,comparable_within_series
displacement_pressure,median_gross_rent,Median gross rent,06013,Contra Costa,2024,2024-12-31,annual five-year estimate,2375.0,current dollars per month,22.0,CENSUS_ACS5_BULK,ACS5-2024-B25064,2026-08-08T18:25:52Z,cb9a8e1adbece0f5f5bb34a7503e374287fcc416120ca45b4a487aaf10dcdcce,published,ACS five-year estimate; consecutive vintages contain overlapping survey years. Reused from the verified Version 1.1 evidence layer.,comparable_within_series
displacement_pressure,median_gross_rent,Median gross rent,06041,Marin,2024,2024-12-31,annual five-year estimate,2668.0,current dollars per month,83.0,CENSUS_ACS5_BULK,ACS5-2024-B25064,2026-08-08T18:25:52Z,cb9a8e1adbece0f5f5bb34a7503e374287fcc416120ca45b4a487aaf10dcdcce,published,ACS five-year estimate; consecutive vintages contain overlapping survey years. Reused from the verified Version 1.1 evidence layer.,comparable_within_series
displacement_pressure,median_gross_rent,Median gross rent,06055,Napa,2024,2024-12-31,annual five-year estimate,2237.0,current dollars per month,56.0,CENSUS_ACS5_BULK,ACS5-2024-B25064,2026-08-08T18:25:52Z,cb9a8e1adbece0f5f5bb34a7503e374287fcc416120ca45b4a487aaf10dcdcce,published,ACS five-year estimate; consecutive vintages contain overlapping survey years. Reused from the verified Version 1.1 evidence layer.,comparable_within_series
displacement_pressure,median_gross_rent,Median gross rent,06075,San Francisco,2024,2024-12-31,annual five-year estimate,2476.0,current dollars per month,30.0,CENSUS_ACS5_BULK,ACS5-2024-B25064,2026-08-08T18:25:52Z,cb9a8e1adbece0f5f5bb34a7503e374287fcc416120ca45b4a487aaf10dcdcce,published,ACS five-year estimate; consecutive vintages contain overlapping survey years. Reused from the verified Version 1.1 evidence layer.,comparable_within_series
displacement_pressure,median_gross_rent,Median gross rent,06081,San Mateo,2024,2024-12-31,annual five-year estimate,2922.0,current dollars per month,40.0,CENSUS_ACS5_BULK,ACS5-2024-B25064,2026-08-08T18:25:52Z,cb9a8e1adbece0f5f5bb34a7503e374287fcc416120ca45b4a487aaf10dcdcce,published,ACS five-year estimate; consecutive vintages contain overlapping survey years. Reused from the verified Version 1.1 evidence layer.,comparable_within_series
displacement_pressure,median_gross_rent,Median gross rent,06085,Santa Clara,2024,2024-12-31,annual five-year estimate,2857.0,current dollars per month,19.0,CENSUS_ACS5_BULK,ACS5-2024-B25064,2026-08-08T18:25:52Z,cb9a8e1adbece0f5f5bb34a7503e374287fcc416120ca45b4a487aaf10dcdcce,published,ACS five-year estimate; consecutive vintages contain overlapping survey years. Reused from the verified Version 1.1 evidence layer.,comparable_within_series
displacement_pressure,median_gross_rent,Median gross rent,06095,Solano,2024,2024-12-31,annual five-year estimate,2163.0,current dollars per month,31.0,CENSUS_ACS5_BULK,ACS5-2024-B25064,2026-08-08T18:25:52Z,cb9a8e1adbece0f5f5bb34a7503e374287fcc416120ca45b4a487aaf10dcdcce,published,ACS five-year estimate; consecutive vintages contain overlapping survey years. Reused from the verified Version 1.1 evidence layer.,comparable_within_series
displacement_pressure,median_gross_rent,Median gross rent,06097,Sonoma,2024,2024-12-31,annual five-year estimate,2158.0,current dollars per month,30.0,CENSUS_ACS5_BULK,ACS5-2024-B25064,2026-08-08T18:25:52Z,cb9a8e1adbece0f5f5bb34a7503e374287fcc416120ca45b4a487aaf10dcdcce,published,ACS five-year estimate; consecutive vintages contain overlapping survey years. Reused from the verified Version 1.1 evidence layer.,comparable_within_series
displacement_pressure,renter_overcrowding_pct,Renter households with more than one occupant per room,06001,Alameda,2024,2024-12-31,annual five-year estimate,11.538955110601055,percent,,CENSUS_ACS5_BULK,ACS5-2024-B25014,2026-08-08T22:58:45Z,f1e300fd36416aff698ae40d0b662d1c9e4128be6fd18ba769cd662e700a6e92,B25014 renter categories above 1.00 occupants per room divided by renter-occupied units,Transparent displacement-pressure component; no composite risk score is calculated.,comparable_within_series
