domain,metric_id,metric_name,county_fips,county_name,period,period_end,frequency,value,unit,margin_of_error_90,numerator,denominator,benchmark_value,subgroup_type,subgroup_id,subgroup_label,tenure,sex,geography_basis,universe,source_ids,source_releases,retrieved_at,raw_sha256s,calculation,notes,reliability_flag,comparability_status
commuting_and_job_access,age_29_or_younger_job_share_pct,Primary jobs held by people age 29 or younger,06001,Alameda,2023,2023-12-31,annual,18.52916216,percent,,140172,756494,,,,,,,workplace county with home-work relation,LODES JT01 primary jobs located in the county,CENSUS_LEHD_LODES,LODES8-OD-JT01-2023-main;LODES8-OD-JT01-2023-aux,2026-08-10T21:40:54Z,cc4620a9cac908eeef0fd24893b8b79d3b557388e128224644acb166ee7514f6;d153527efc113cfbb112384189879f6a752505472a525244f223f88035a41875,selected LODES job component divided by S000 primary jobs,"LODES earnings bands are monthly job-earnings categories, not annual worker income or ACS median earnings.",administrative_noise_applied,lodes8_jt01_within_series
commuting_and_job_access,age_30_to_54_job_share_pct,Primary jobs held by people age 30 to 54,06001,Alameda,2023,2023-12-31,annual,56.23534357,percent,,425417,756494,,,,,,,workplace county with home-work relation,LODES JT01 primary jobs located in the county,CENSUS_LEHD_LODES,LODES8-OD-JT01-2023-main;LODES8-OD-JT01-2023-aux,2026-08-10T21:40:54Z,cc4620a9cac908eeef0fd24893b8b79d3b557388e128224644acb166ee7514f6;d153527efc113cfbb112384189879f6a752505472a525244f223f88035a41875,selected LODES job component divided by S000 primary jobs,"LODES earnings bands are monthly job-earnings categories, not annual worker income or ACS median earnings.",administrative_noise_applied,lodes8_jt01_within_series
commuting_and_job_access,age_55_plus_job_share_pct,Primary jobs held by people age 55 or older,06001,Alameda,2023,2023-12-31,annual,25.23549427,percent,,190905,756494,,,,,,,workplace county with home-work relation,LODES JT01 primary jobs located in the county,CENSUS_LEHD_LODES,LODES8-OD-JT01-2023-main;LODES8-OD-JT01-2023-aux,2026-08-10T21:40:54Z,cc4620a9cac908eeef0fd24893b8b79d3b557388e128224644acb166ee7514f6;d153527efc113cfbb112384189879f6a752505472a525244f223f88035a41875,selected LODES job component divided by S000 primary jobs,"LODES earnings bands are monthly job-earnings categories, not annual worker income or ACS median earnings.",administrative_noise_applied,lodes8_jt01_within_series
commuting_and_job_access,high_monthly_earnings_job_share_pct,"Primary jobs paying more than $3,333 per month",06001,Alameda,2023,2023-12-31,annual,73.70871415,percent,,557602,756494,,,,,,,workplace county with home-work relation,LODES JT01 primary jobs located in the county,CENSUS_LEHD_LODES,LODES8-OD-JT01-2023-main;LODES8-OD-JT01-2023-aux,2026-08-10T21:40:54Z,cc4620a9cac908eeef0fd24893b8b79d3b557388e128224644acb166ee7514f6;d153527efc113cfbb112384189879f6a752505472a525244f223f88035a41875,selected LODES job component divided by S000 primary jobs,"LODES earnings bands are monthly job-earnings categories, not annual worker income or ACS median earnings.",administrative_noise_applied,lodes8_jt01_within_series
commuting_and_job_access,inbound_job_share_pct,Inbound share of primary jobs,06001,Alameda,2023,2023-12-31,annual,57.38697201,percent,,434129,756494,,,,,,,workplace county with home-work relation,LODES JT01 primary jobs located in the county,CENSUS_LEHD_LODES,LODES8-OD-JT01-2023-main;LODES8-OD-JT01-2023-aux,2026-08-10T21:40:54Z,cc4620a9cac908eeef0fd24893b8b79d3b557388e128224644acb166ee7514f6;d153527efc113cfbb112384189879f6a752505472a525244f223f88035a41875,selected LODES job component divided by S000 primary jobs,"LODES earnings bands are monthly job-earnings categories, not annual worker income or ACS median earnings.",administrative_noise_applied,lodes8_jt01_within_series
commuting_and_job_access,local_resident_job_share_pct,Same-county resident share of primary jobs,06001,Alameda,2023,2023-12-31,annual,42.61302799,percent,,322365,756494,,,,,,,workplace county with home-work relation,LODES JT01 primary jobs located in the county,CENSUS_LEHD_LODES,LODES8-OD-JT01-2023-main;LODES8-OD-JT01-2023-aux,2026-08-10T21:40:54Z,cc4620a9cac908eeef0fd24893b8b79d3b557388e128224644acb166ee7514f6;d153527efc113cfbb112384189879f6a752505472a525244f223f88035a41875,selected LODES job component divided by S000 primary jobs,"LODES earnings bands are monthly job-earnings categories, not annual worker income or ACS median earnings.",administrative_noise_applied,lodes8_jt01_within_series
commuting_and_job_access,local_resident_primary_jobs,Primary jobs held by same-county residents,06001,Alameda,2023,2023-12-31,annual,322365,primary jobs,,,,,,,,,,workplace county with home-work relation,LODES JT01 primary jobs located in the county,CENSUS_LEHD_LODES,LODES8-OD-JT01-2023-main;LODES8-OD-JT01-2023-aux,2026-08-10T21:40:54Z,cc4620a9cac908eeef0fd24893b8b79d3b557388e128224644acb166ee7514f6;d153527efc113cfbb112384189879f6a752505472a525244f223f88035a41875,sum of LODES OD primary-job records,Jobs are not people or households. LODES values are noise-infused for disclosure protection and may not equal ACS estimates.,administrative_noise_applied,lodes8_jt01_within_series
commuting_and_job_access,low_monthly_earnings_job_share_pct,"Primary jobs paying $1,250 per month or less",06001,Alameda,2023,2023-12-31,annual,8.84792212,percent,,66934,756494,,,,,,,workplace county with home-work relation,LODES JT01 primary jobs located in the county,CENSUS_LEHD_LODES,LODES8-OD-JT01-2023-main;LODES8-OD-JT01-2023-aux,2026-08-10T21:40:54Z,cc4620a9cac908eeef0fd24893b8b79d3b557388e128224644acb166ee7514f6;d153527efc113cfbb112384189879f6a752505472a525244f223f88035a41875,selected LODES job component divided by S000 primary jobs,"LODES earnings bands are monthly job-earnings categories, not annual worker income or ACS median earnings.",administrative_noise_applied,lodes8_jt01_within_series
commuting_and_job_access,middle_monthly_earnings_job_share_pct,"Primary jobs paying $1,251 to $3,333 per month",06001,Alameda,2023,2023-12-31,annual,17.44336373,percent,,131958,756494,,,,,,,workplace county with home-work relation,LODES JT01 primary jobs located in the county,CENSUS_LEHD_LODES,LODES8-OD-JT01-2023-main;LODES8-OD-JT01-2023-aux,2026-08-10T21:40:54Z,cc4620a9cac908eeef0fd24893b8b79d3b557388e128224644acb166ee7514f6;d153527efc113cfbb112384189879f6a752505472a525244f223f88035a41875,selected LODES job component divided by S000 primary jobs,"LODES earnings bands are monthly job-earnings categories, not annual worker income or ACS median earnings.",administrative_noise_applied,lodes8_jt01_within_series
commuting_and_job_access,other_california_inbound_primary_jobs,Primary jobs held by residents of another California county,06001,Alameda,2023,2023-12-31,annual,429235,primary jobs,,,,,,,,,,workplace county with home-work relation,LODES JT01 primary jobs located in the county,CENSUS_LEHD_LODES,LODES8-OD-JT01-2023-main;LODES8-OD-JT01-2023-aux,2026-08-10T21:40:54Z,cc4620a9cac908eeef0fd24893b8b79d3b557388e128224644acb166ee7514f6;d153527efc113cfbb112384189879f6a752505472a525244f223f88035a41875,sum of LODES OD primary-job records,Jobs are not people or households. LODES values are noise-infused for disclosure protection and may not equal ACS estimates.,administrative_noise_applied,lodes8_jt01_within_series
