domain,metric_id,metric_name,county_fips,county_name,period,period_end,frequency,value,unit,margin_of_error_90,numerator,denominator,benchmark_value,subgroup_type,subgroup_id,subgroup_label,tenure,sex,geography_basis,universe,source_ids,source_releases,retrieved_at,raw_sha256s,calculation,notes,reliability_flag,comparability_status
age_and_tenure,homeownership_pct,Homeownership share,06001,Alameda,2024,2024-12-31,annual rolling five-year estimate,7.16167153,percent,1.96229841,1006,14047,,age_of_householder,15_24,Householder age 15 to 24,,,household residence,occupied housing units by age of householder,CENSUS_ACS5_DETAIL,ACS5-2024-B25007-table-based-summary-file,2026-08-10T21:31:04Z,f98c19ff1e29be51b8b9416af6b90f944dae3b79f799e16d5c7b9a2281c46928,owner-occupied units divided by owner- plus renter-occupied units,Age bands are aggregated only where stated; ACS vintages overlap.,project_flag_standard,comparable_within_table_and_vintage
age_and_tenure,homeownership_pct,Homeownership share,06001,Alameda,2024,2024-12-31,annual rolling five-year estimate,25.77927637,percent,1.01756544,24389,94607,,age_of_householder,25_34,Householder age 25 to 34,,,household residence,occupied housing units by age of householder,CENSUS_ACS5_DETAIL,ACS5-2024-B25007-table-based-summary-file,2026-08-10T21:31:04Z,f98c19ff1e29be51b8b9416af6b90f944dae3b79f799e16d5c7b9a2281c46928,owner-occupied units divided by owner- plus renter-occupied units,Age bands are aggregated only where stated; ACS vintages overlap.,project_flag_standard,comparable_within_table_and_vintage
age_and_tenure,homeownership_pct,Homeownership share,06001,Alameda,2024,2024-12-31,annual rolling five-year estimate,49.25144015,percent,0.76679915,62242,126376,,age_of_householder,35_44,Householder age 35 to 44,,,household residence,occupied housing units by age of householder,CENSUS_ACS5_DETAIL,ACS5-2024-B25007-table-based-summary-file,2026-08-10T21:31:04Z,f98c19ff1e29be51b8b9416af6b90f944dae3b79f799e16d5c7b9a2281c46928,owner-occupied units divided by owner- plus renter-occupied units,Age bands are aggregated only where stated; ACS vintages overlap.,project_flag_standard,comparable_within_table_and_vintage
age_and_tenure,homeownership_pct,Homeownership share,06001,Alameda,2024,2024-12-31,annual rolling five-year estimate,59.55799865,percent,0.55122219,69017,115882,,age_of_householder,45_54,Householder age 45 to 54,,,household residence,occupied housing units by age of householder,CENSUS_ACS5_DETAIL,ACS5-2024-B25007-table-based-summary-file,2026-08-10T21:31:04Z,f98c19ff1e29be51b8b9416af6b90f944dae3b79f799e16d5c7b9a2281c46928,owner-occupied units divided by owner- plus renter-occupied units,Age bands are aggregated only where stated; ACS vintages overlap.,project_flag_standard,comparable_within_table_and_vintage
age_and_tenure,homeownership_pct,Homeownership share,06001,Alameda,2024,2024-12-31,annual rolling five-year estimate,65.46832966,percent,0.89735311,69602,106314,,age_of_householder,55_64,Householder age 55 to 64,,,household residence,occupied housing units by age of householder,CENSUS_ACS5_DETAIL,ACS5-2024-B25007-table-based-summary-file,2026-08-10T21:31:04Z,f98c19ff1e29be51b8b9416af6b90f944dae3b79f799e16d5c7b9a2281c46928,owner-occupied units divided by owner- plus renter-occupied units,Age bands are aggregated only where stated; ACS vintages overlap.,project_flag_standard,comparable_within_table_and_vintage
age_and_tenure,homeownership_pct,Homeownership share,06001,Alameda,2024,2024-12-31,annual rolling five-year estimate,70.78289434,percent,0.53659449,58180,82195,,age_of_householder,65_74,Householder age 65 to 74,,,household residence,occupied housing units by age of householder,CENSUS_ACS5_DETAIL,ACS5-2024-B25007-table-based-summary-file,2026-08-10T21:31:04Z,f98c19ff1e29be51b8b9416af6b90f944dae3b79f799e16d5c7b9a2281c46928,owner-occupied units divided by owner- plus renter-occupied units,Age bands are aggregated only where stated; ACS vintages overlap.,project_flag_standard,comparable_within_table_and_vintage
age_and_tenure,homeownership_pct,Homeownership share,06001,Alameda,2024,2024-12-31,annual rolling five-year estimate,69.82235444,percent,1.1110447,41073,58825,,age_of_householder,75_plus,Householder age 75 or older,,,household residence,occupied housing units by age of householder,CENSUS_ACS5_DETAIL,ACS5-2024-B25007-table-based-summary-file,2026-08-10T21:31:04Z,f98c19ff1e29be51b8b9416af6b90f944dae3b79f799e16d5c7b9a2281c46928,owner-occupied units divided by owner- plus renter-occupied units,Age bands are aggregated only where stated; ACS vintages overlap.,project_flag_standard,comparable_within_table_and_vintage
age_and_tenure,homeownership_pct,Homeownership share,06013,Contra Costa,2024,2024-12-31,annual rolling five-year estimate,13.49364374,percent,2.73385035,881,6529,,age_of_householder,15_24,Householder age 15 to 24,,,household residence,occupied housing units by age of householder,CENSUS_ACS5_DETAIL,ACS5-2024-B25007-table-based-summary-file,2026-08-10T21:31:04Z,f98c19ff1e29be51b8b9416af6b90f944dae3b79f799e16d5c7b9a2281c46928,owner-occupied units divided by owner- plus renter-occupied units,Age bands are aggregated only where stated; ACS vintages overlap.,project_flag_standard,comparable_within_table_and_vintage
age_and_tenure,homeownership_pct,Homeownership share,06013,Contra Costa,2024,2024-12-31,annual rolling five-year estimate,37.51868771,percent,1.74450901,18069,48160,,age_of_householder,25_34,Householder age 25 to 34,,,household residence,occupied housing units by age of householder,CENSUS_ACS5_DETAIL,ACS5-2024-B25007-table-based-summary-file,2026-08-10T21:31:04Z,f98c19ff1e29be51b8b9416af6b90f944dae3b79f799e16d5c7b9a2281c46928,owner-occupied units divided by owner- plus renter-occupied units,Age bands are aggregated only where stated; ACS vintages overlap.,project_flag_standard,comparable_within_table_and_vintage
age_and_tenure,homeownership_pct,Homeownership share,06013,Contra Costa,2024,2024-12-31,annual rolling five-year estimate,59.81499868,percent,0.99300133,47593,79567,,age_of_householder,35_44,Householder age 35 to 44,,,household residence,occupied housing units by age of householder,CENSUS_ACS5_DETAIL,ACS5-2024-B25007-table-based-summary-file,2026-08-10T21:31:04Z,f98c19ff1e29be51b8b9416af6b90f944dae3b79f799e16d5c7b9a2281c46928,owner-occupied units divided by owner- plus renter-occupied units,Age bands are aggregated only where stated; ACS vintages overlap.,project_flag_standard,comparable_within_table_and_vintage
