domain,metric_id,metric_name,county_fips,county_name,period,period_end,frequency,value,unit,margin_of_error_90,numerator,denominator,benchmark_value,subgroup_type,subgroup_id,subgroup_label,tenure,sex,geography_basis,universe,source_ids,source_releases,retrieved_at,raw_sha256s,calculation,notes,reliability_flag,comparability_status
race_ethnicity_and_housing,homeownership_pct,Homeownership share,06001,Alameda,2024,2024-12-31,annual rolling five-year estimate,36.42898776,percent,4.07327655,1875,5147,,race_ethnicity_of_householder,aian_alone,American Indian and Alaska Native alone,,,household residence,occupied housing units in the stated householder group,CENSUS_ACS5_DETAIL,ACS5-2024-B25003C-table-based-summary-file,2026-08-10T21:40:54Z,8f9eed7241cc42fba7a354130b58f78fae63c128dd27cdaf0d14f572e1b19736,owner-occupied units divided by occupied units,"Race and Hispanic-origin categories overlap and must not be summed. White alone includes Hispanic householders; White alone, not Hispanic is separate.",project_flag_standard,comparable_within_table_and_vintage
race_ethnicity_and_housing,housing_cost_burden_over_30_pct,Housing costs over 30% of household income,06001,Alameda,2024,2024-12-31,annual rolling five-year estimate,42.63803681,percent,12.53738008,556,1304,,race_ethnicity_of_householder,aian_alone,American Indian and Alaska Native alone,owner_with_mortgage,,household residence,Owned units with a mortgage with a computable housing-cost ratio,CENSUS_ACS5_DETAIL,ACS5-2024-B25140C-table-based-summary-file,2026-08-10T21:40:54Z,807303864b79bc92548981faab7d0f612125e70dd10bca9febd0dac776f2b0b2,housing costs over 30% of household income count divided by tenure total less not-calculated cases,The denominator excludes units where the housing-cost-to-income ratio was not calculated. Race and Hispanic-origin categories overlap and are not additive.,project_flag_high_uncertainty,series_begins_2023_table_introduction
race_ethnicity_and_housing,housing_cost_burden_over_50_pct,Housing costs over 50% of household income,06001,Alameda,2024,2024-12-31,annual rolling five-year estimate,23.84969325,percent,9.35004752,311,1304,,race_ethnicity_of_householder,aian_alone,American Indian and Alaska Native alone,owner_with_mortgage,,household residence,Owned units with a mortgage with a computable housing-cost ratio,CENSUS_ACS5_DETAIL,ACS5-2024-B25140C-table-based-summary-file,2026-08-10T21:40:54Z,807303864b79bc92548981faab7d0f612125e70dd10bca9febd0dac776f2b0b2,housing costs over 50% of household income count divided by tenure total less not-calculated cases,The denominator excludes units where the housing-cost-to-income ratio was not calculated. Race and Hispanic-origin categories overlap and are not additive.,project_flag_moderate_uncertainty,series_begins_2023_table_introduction
race_ethnicity_and_housing,housing_cost_burden_over_30_pct,Housing costs over 30% of household income,06001,Alameda,2024,2024-12-31,annual rolling five-year estimate,14.01050788,percent,10.80078799,80,571,,race_ethnicity_of_householder,aian_alone,American Indian and Alaska Native alone,owner_without_mortgage,,household residence,Owned units without a mortgage with a computable housing-cost ratio,CENSUS_ACS5_DETAIL,ACS5-2024-B25140C-table-based-summary-file,2026-08-10T21:40:54Z,807303864b79bc92548981faab7d0f612125e70dd10bca9febd0dac776f2b0b2,housing costs over 30% of household income count divided by tenure total less not-calculated cases,The denominator excludes units where the housing-cost-to-income ratio was not calculated. Race and Hispanic-origin categories overlap and are not additive.,project_flag_high_uncertainty,series_begins_2023_table_introduction
race_ethnicity_and_housing,housing_cost_burden_over_50_pct,Housing costs over 50% of household income,06001,Alameda,2024,2024-12-31,annual rolling five-year estimate,6.83012259,percent,9.64944682,39,571,,race_ethnicity_of_householder,aian_alone,American Indian and Alaska Native alone,owner_without_mortgage,,household residence,Owned units without a mortgage with a computable housing-cost ratio,CENSUS_ACS5_DETAIL,ACS5-2024-B25140C-table-based-summary-file,2026-08-10T21:40:54Z,807303864b79bc92548981faab7d0f612125e70dd10bca9febd0dac776f2b0b2,housing costs over 50% of household income count divided by tenure total less not-calculated cases,The denominator excludes units where the housing-cost-to-income ratio was not calculated. Race and Hispanic-origin categories overlap and are not additive.,project_flag_high_uncertainty,series_begins_2023_table_introduction
race_ethnicity_and_housing,housing_cost_burden_over_30_pct,Housing costs over 30% of household income,06001,Alameda,2024,2024-12-31,annual rolling five-year estimate,47.83421627,percent,4.51091744,1535,3209,,race_ethnicity_of_householder,aian_alone,American Indian and Alaska Native alone,renter,,household residence,Rented units with a computable housing-cost ratio,CENSUS_ACS5_DETAIL,ACS5-2024-B25140C-table-based-summary-file,2026-08-10T21:40:54Z,807303864b79bc92548981faab7d0f612125e70dd10bca9febd0dac776f2b0b2,housing costs over 30% of household income count divided by tenure total less not-calculated cases,The denominator excludes units where the housing-cost-to-income ratio was not calculated. Race and Hispanic-origin categories overlap and are not additive.,project_flag_standard,series_begins_2023_table_introduction
race_ethnicity_and_housing,housing_cost_burden_over_50_pct,Housing costs over 50% of household income,06001,Alameda,2024,2024-12-31,annual rolling five-year estimate,22.84200686,percent,6.09310672,733,3209,,race_ethnicity_of_householder,aian_alone,American Indian and Alaska Native alone,renter,,household residence,Rented units with a computable housing-cost ratio,CENSUS_ACS5_DETAIL,ACS5-2024-B25140C-table-based-summary-file,2026-08-10T21:40:54Z,807303864b79bc92548981faab7d0f612125e70dd10bca9febd0dac776f2b0b2,housing costs over 50% of household income count divided by tenure total less not-calculated cases,The denominator excludes units where the housing-cost-to-income ratio was not calculated. Race and Hispanic-origin categories overlap and are not additive.,project_flag_moderate_uncertainty,series_begins_2023_table_introduction
race_ethnicity_and_housing,homeownership_pct,Homeownership share,06001,Alameda,2024,2024-12-31,annual rolling five-year estimate,64.37538511,percent,0.70037736,120147,186635,,race_ethnicity_of_householder,asian_alone,Asian alone,,,household residence,occupied housing units in the stated householder group,CENSUS_ACS5_DETAIL,ACS5-2024-B25003D-table-based-summary-file,2026-08-10T21:40:54Z,2dcaa89c955425e9e6ed61245d0d27dafdf1319029ac541ed04e1628700c20e8,owner-occupied units divided by occupied units,"Race and Hispanic-origin categories overlap and must not be summed. White alone includes Hispanic householders; White alone, not Hispanic is separate.",project_flag_standard,comparable_within_table_and_vintage
race_ethnicity_and_housing,housing_cost_burden_over_30_pct,Housing costs over 30% of household income,06001,Alameda,2024,2024-12-31,annual rolling five-year estimate,30.49727295,percent,1.14188658,26672,87457,,race_ethnicity_of_householder,asian_alone,Asian alone,owner_with_mortgage,,household residence,Owned units with a mortgage with a computable housing-cost ratio,CENSUS_ACS5_DETAIL,ACS5-2024-B25140D-table-based-summary-file,2026-08-10T21:40:54Z,67fa8ff79fc23ed07ee414822659c69ac9466ae19cf41fcb81aed09900eea9df,housing costs over 30% of household income count divided by tenure total less not-calculated cases,The denominator excludes units where the housing-cost-to-income ratio was not calculated. Race and Hispanic-origin categories overlap and are not additive.,project_flag_standard,series_begins_2023_table_introduction
race_ethnicity_and_housing,housing_cost_burden_over_50_pct,Housing costs over 50% of household income,06001,Alameda,2024,2024-12-31,annual rolling five-year estimate,12.55245435,percent,0.94941049,10978,87457,,race_ethnicity_of_householder,asian_alone,Asian alone,owner_with_mortgage,,household residence,Owned units with a mortgage with a computable housing-cost ratio,CENSUS_ACS5_DETAIL,ACS5-2024-B25140D-table-based-summary-file,2026-08-10T21:40:54Z,67fa8ff79fc23ed07ee414822659c69ac9466ae19cf41fcb81aed09900eea9df,housing costs over 50% of household income count divided by tenure total less not-calculated cases,The denominator excludes units where the housing-cost-to-income ratio was not calculated. Race and Hispanic-origin categories overlap and are not additive.,project_flag_standard,series_begins_2023_table_introduction
