compliance_status,county_fips,county_name,cycle,date_received,is_in_compliance,jurisdiction,planning_period,record_type,review_status,reviewed_date
In,06001,Alameda,6th Cycle,2022-11-16,True,Alameda,6S,Adopted,In,2022-12-20
In,06001,Alameda,6th Cycle,2024-12-19,True,Alameda County,6S,Adopted,In,2024-12-31
In,06001,Alameda,6th Cycle,2023-08-16,True,Albany,6S,Adopted,In,2023-09-08
In,06001,Alameda,6th Cycle,2023-01-24,True,Berkeley,6S,Adopted,In,2023-02-28
In,06001,Alameda,6th Cycle,2023-11-22,True,Dublin,6S,Adopted,In,2024-01-19
In,06001,Alameda,6th Cycle,2023-01-20,True,Emeryville,6S,Adopted,In,2023-02-03
In,06001,Alameda,6th Cycle,2023-01-23,True,Fremont,6S,Adopted,In,2023-03-22
In,06001,Alameda,6th Cycle,2023-06-07,True,Hayward,6S,Adopted,In,2023-07-27
In,06001,Alameda,6th Cycle,2023-03-14,True,Livermore,6S,Adopted,In,2023-03-24
In,06001,Alameda,6th Cycle,2023-11-01,True,Newark,6S,Adopted,In,2023-12-21
In,06001,Alameda,6th Cycle,2023-02-13,True,Oakland,6S,Adopted,In,2023-02-17
In,06001,Alameda,6th Cycle,2023-09-11,True,Piedmont,6S,Adopted,In,2023-11-09
In,06001,Alameda,6th Cycle,2023-06-27,True,Pleasanton,6S,Adopted,In,2023-08-25
In,06001,Alameda,6th Cycle,2022-12-09,True,San Leandro,6S,Adopted,In,2023-02-02
In,06001,Alameda,6th Cycle,2023-05-25,True,Union City,6S,Adopted,In,2023-05-30
In,06013,Contra Costa,6th Cycle,2023-08-15,True,Antioch,6S,Adopted,In,2023-10-12
In,06013,Contra Costa,6th Cycle,2024-02-14,True,Brentwood,6S,Adopted,In,2024-04-12
In,06013,Contra Costa,6th Cycle,2026-02-12,True,Clayton,6S,Adopted,In,2026-04-13
In,06013,Contra Costa,6th Cycle,2023-09-15,True,Concord,6S,Adopted,In,2023-10-20
In,06013,Contra Costa,6th Cycle,2023-12-13,True,Contra Costa County,6S,Adopted,In,2024-01-22
In,06013,Contra Costa,6th Cycle,2024-02-09,True,Danville,6S,Adopted,In,2024-04-09
In,06013,Contra Costa,6th Cycle,2023-08-17,True,El Cerrito,6S,Adopted,In,2023-08-22
