measureKey,metricName,countyFips,countyName,value,unit,period,periodEnd,marginOfError90,derivation,formula,sourceIds
observatory.rental_trends.median_gross_rent,Median gross rent,06001,Alameda,2357.0,current dollars per month,2024,2024-12-31,16.0,published,published,['CENSUS_ACS5_BULK']
observatory.rental_trends.median_gross_rent,Median gross rent,06013,Contra Costa,2375.0,current dollars per month,2024,2024-12-31,22.0,published,published,['CENSUS_ACS5_BULK']
observatory.rental_trends.median_gross_rent,Median gross rent,06041,Marin,2668.0,current dollars per month,2024,2024-12-31,83.0,published,published,['CENSUS_ACS5_BULK']
observatory.rental_trends.median_gross_rent,Median gross rent,06055,Napa,2237.0,current dollars per month,2024,2024-12-31,56.0,published,published,['CENSUS_ACS5_BULK']
observatory.rental_trends.median_gross_rent,Median gross rent,06075,San Francisco,2476.0,current dollars per month,2024,2024-12-31,30.0,published,published,['CENSUS_ACS5_BULK']
observatory.rental_trends.median_gross_rent,Median gross rent,06081,San Mateo,2922.0,current dollars per month,2024,2024-12-31,40.0,published,published,['CENSUS_ACS5_BULK']
observatory.rental_trends.median_gross_rent,Median gross rent,06085,Santa Clara,2857.0,current dollars per month,2024,2024-12-31,19.0,published,published,['CENSUS_ACS5_BULK']
observatory.rental_trends.median_gross_rent,Median gross rent,06095,Solano,2163.0,current dollars per month,2024,2024-12-31,31.0,published,published,['CENSUS_ACS5_BULK']
observatory.rental_trends.median_gross_rent,Median gross rent,06097,Sonoma,2158.0,current dollars per month,2024,2024-12-31,30.0,published,published,['CENSUS_ACS5_BULK']
observatory.home_sales.median_sale_price,"Median sale price, not seasonally adjusted",06001,Alameda,1126821.0,current dollars,2026-06,2026-06-30,,published,published,['REDFIN_HMT']
observatory.home_sales.median_sale_price,"Median sale price, not seasonally adjusted",06013,Contra Costa,842623.0,current dollars,2026-06,2026-06-30,,published,published,['REDFIN_HMT']
observatory.home_sales.median_sale_price,"Median sale price, not seasonally adjusted",06041,Marin,1622921.0,current dollars,2026-06,2026-06-30,,published,published,['REDFIN_HMT']
observatory.home_sales.median_sale_price,"Median sale price, not seasonally adjusted",06055,Napa,907440.0,current dollars,2026-06,2026-06-30,,published,published,['REDFIN_HMT']
observatory.home_sales.median_sale_price,"Median sale price, not seasonally adjusted",06075,San Francisco,1695217.0,current dollars,2026-06,2026-06-30,,published,published,['REDFIN_HMT']
observatory.home_sales.median_sale_price,"Median sale price, not seasonally adjusted",06081,San Mateo,1794936.0,current dollars,2026-06,2026-06-30,,published,published,['REDFIN_HMT']
observatory.home_sales.median_sale_price,"Median sale price, not seasonally adjusted",06085,Santa Clara,1645358.0,current dollars,2026-06,2026-06-30,,published,published,['REDFIN_HMT']
observatory.home_sales.median_sale_price,"Median sale price, not seasonally adjusted",06095,Solano,583354.0,current dollars,2026-06,2026-06-30,,published,published,['REDFIN_HMT']
observatory.home_sales.median_sale_price,"Median sale price, not seasonally adjusted",06097,Sonoma,841350.0,current dollars,2026-06,2026-06-30,,published,published,['REDFIN_HMT']
observatory.affordability_ratios.home_value_to_income_ratio,Median home value to median household income,06001,Alameda,8.426414773473915,ratio,2024,2024-12-31,,derived,median owner-reported home value divided by median household income,['CENSUS_ACS5_BULK']
observatory.affordability_ratios.home_value_to_income_ratio,Median home value to median household income,06013,Contra Costa,6.8129121505317185,ratio,2024,2024-12-31,,derived,median owner-reported home value divided by median household income,['CENSUS_ACS5_BULK']
observatory.affordability_ratios.home_value_to_income_ratio,Median home value to median household income,06041,Marin,10.109932859797036,ratio,2024,2024-12-31,,derived,median owner-reported home value divided by median household income,['CENSUS_ACS5_BULK']
observatory.affordability_ratios.home_value_to_income_ratio,Median home value to median household income,06055,Napa,7.800235038709619,ratio,2024,2024-12-31,,derived,median owner-reported home value divided by median household income,['CENSUS_ACS5_BULK']
observatory.affordability_ratios.home_value_to_income_ratio,Median home value to median household income,06075,San Francisco,9.892175640207137,ratio,2024,2024-12-31,,derived,median owner-reported home value divided by median household income,['CENSUS_ACS5_BULK']
observatory.affordability_ratios.home_value_to_income_ratio,Median home value to median household income,06081,San Mateo,9.81775833307104,ratio,2024,2024-12-31,,derived,median owner-reported home value divided by median household income,['CENSUS_ACS5_BULK']
observatory.affordability_ratios.home_value_to_income_ratio,Median home value to median household income,06085,Santa Clara,9.073477760666176,ratio,2024,2024-12-31,,derived,median owner-reported home value divided by median household income,['CENSUS_ACS5_BULK']
observatory.affordability_ratios.home_value_to_income_ratio,Median home value to median household income,06095,Solano,6.152329160068127,ratio,2024,2024-12-31,,derived,median owner-reported home value divided by median household income,['CENSUS_ACS5_BULK']
observatory.affordability_ratios.home_value_to_income_ratio,Median home value to median household income,06097,Sonoma,7.790855417773277,ratio,2024,2024-12-31,,derived,median owner-reported home value divided by median household income,['CENSUS_ACS5_BULK']
observatory.cost_burden.renter_cost_burden_30_plus_pct,Renters spending at least 30% of income on rent,06001,Alameda,50.40199983897003,percent,2024,2024-12-31,,derived,"B25070 categories 30–34.9%, 35–39.9%, 40–49.9%, and 50%+ divided by computed cases",['CENSUS_ACS5_BULK']
observatory.cost_burden.renter_cost_burden_30_plus_pct,Renters spending at least 30% of income on rent,06013,Contra Costa,56.13023934293665,percent,2024,2024-12-31,,derived,"B25070 categories 30–34.9%, 35–39.9%, 40–49.9%, and 50%+ divided by computed cases",['CENSUS_ACS5_BULK']
observatory.cost_burden.renter_cost_burden_30_plus_pct,Renters spending at least 30% of income on rent,06041,Marin,55.567735979690745,percent,2024,2024-12-31,,derived,"B25070 categories 30–34.9%, 35–39.9%, 40–49.9%, and 50%+ divided by computed cases",['CENSUS_ACS5_BULK']
observatory.cost_burden.renter_cost_burden_30_plus_pct,Renters spending at least 30% of income on rent,06055,Napa,54.84820500981185,percent,2024,2024-12-31,,derived,"B25070 categories 30–34.9%, 35–39.9%, 40–49.9%, and 50%+ divided by computed cases",['CENSUS_ACS5_BULK']
observatory.cost_burden.renter_cost_burden_30_plus_pct,Renters spending at least 30% of income on rent,06075,San Francisco,39.61429656660561,percent,2024,2024-12-31,,derived,"B25070 categories 30–34.9%, 35–39.9%, 40–49.9%, and 50%+ divided by computed cases",['CENSUS_ACS5_BULK']
observatory.cost_burden.renter_cost_burden_30_plus_pct,Renters spending at least 30% of income on rent,06081,San Mateo,48.40015200456014,percent,2024,2024-12-31,,derived,"B25070 categories 30–34.9%, 35–39.9%, 40–49.9%, and 50%+ divided by computed cases",['CENSUS_ACS5_BULK']
observatory.cost_burden.renter_cost_burden_30_plus_pct,Renters spending at least 30% of income on rent,06085,Santa Clara,45.03393530183819,percent,2024,2024-12-31,,derived,"B25070 categories 30–34.9%, 35–39.9%, 40–49.9%, and 50%+ divided by computed cases",['CENSUS_ACS5_BULK']
observatory.cost_burden.renter_cost_burden_30_plus_pct,Renters spending at least 30% of income on rent,06095,Solano,60.19184219083059,percent,2024,2024-12-31,,derived,"B25070 categories 30–34.9%, 35–39.9%, 40–49.9%, and 50%+ divided by computed cases",['CENSUS_ACS5_BULK']
observatory.cost_burden.renter_cost_burden_30_plus_pct,Renters spending at least 30% of income on rent,06097,Sonoma,54.80410655652458,percent,2024,2024-12-31,,derived,"B25070 categories 30–34.9%, 35–39.9%, 40–49.9%, and 50%+ divided by computed cases",['CENSUS_ACS5_BULK']
