countyFips,countyName,section,measureKey,metricName,value,unit,period,periodEnd,marginOfError90,derivation,sourceIds
06001,Alameda,Market,observatory.rental_trends.median_gross_rent,Median gross rent,2357.0,current dollars per month,2024,2024-12-31,16.0,published,['CENSUS_ACS5_BULK']
06013,Contra Costa,Market,observatory.rental_trends.median_gross_rent,Median gross rent,2375.0,current dollars per month,2024,2024-12-31,22.0,published,['CENSUS_ACS5_BULK']
06041,Marin,Market,observatory.rental_trends.median_gross_rent,Median gross rent,2668.0,current dollars per month,2024,2024-12-31,83.0,published,['CENSUS_ACS5_BULK']
06055,Napa,Market,observatory.rental_trends.median_gross_rent,Median gross rent,2237.0,current dollars per month,2024,2024-12-31,56.0,published,['CENSUS_ACS5_BULK']
06075,San Francisco,Market,observatory.rental_trends.median_gross_rent,Median gross rent,2476.0,current dollars per month,2024,2024-12-31,30.0,published,['CENSUS_ACS5_BULK']
06081,San Mateo,Market,observatory.rental_trends.median_gross_rent,Median gross rent,2922.0,current dollars per month,2024,2024-12-31,40.0,published,['CENSUS_ACS5_BULK']
06085,Santa Clara,Market,observatory.rental_trends.median_gross_rent,Median gross rent,2857.0,current dollars per month,2024,2024-12-31,19.0,published,['CENSUS_ACS5_BULK']
06095,Solano,Market,observatory.rental_trends.median_gross_rent,Median gross rent,2163.0,current dollars per month,2024,2024-12-31,31.0,published,['CENSUS_ACS5_BULK']
06097,Sonoma,Market,observatory.rental_trends.median_gross_rent,Median gross rent,2158.0,current dollars per month,2024,2024-12-31,30.0,published,['CENSUS_ACS5_BULK']
06001,Alameda,Market,observatory.home_sales.median_sale_price,"Median sale price, not seasonally adjusted",1126821.0,current dollars,2026-06,2026-06-30,,published,['REDFIN_HMT']
06013,Contra Costa,Market,observatory.home_sales.median_sale_price,"Median sale price, not seasonally adjusted",842623.0,current dollars,2026-06,2026-06-30,,published,['REDFIN_HMT']
06041,Marin,Market,observatory.home_sales.median_sale_price,"Median sale price, not seasonally adjusted",1622921.0,current dollars,2026-06,2026-06-30,,published,['REDFIN_HMT']
06055,Napa,Market,observatory.home_sales.median_sale_price,"Median sale price, not seasonally adjusted",907440.0,current dollars,2026-06,2026-06-30,,published,['REDFIN_HMT']
06075,San Francisco,Market,observatory.home_sales.median_sale_price,"Median sale price, not seasonally adjusted",1695217.0,current dollars,2026-06,2026-06-30,,published,['REDFIN_HMT']
06081,San Mateo,Market,observatory.home_sales.median_sale_price,"Median sale price, not seasonally adjusted",1794936.0,current dollars,2026-06,2026-06-30,,published,['REDFIN_HMT']
06085,Santa Clara,Market,observatory.home_sales.median_sale_price,"Median sale price, not seasonally adjusted",1645358.0,current dollars,2026-06,2026-06-30,,published,['REDFIN_HMT']
06095,Solano,Market,observatory.home_sales.median_sale_price,"Median sale price, not seasonally adjusted",583354.0,current dollars,2026-06,2026-06-30,,published,['REDFIN_HMT']
06097,Sonoma,Market,observatory.home_sales.median_sale_price,"Median sale price, not seasonally adjusted",841350.0,current dollars,2026-06,2026-06-30,,published,['REDFIN_HMT']
06001,Alameda,Market,observatory.affordability_ratios.home_value_to_income_ratio,Median home value to median household income,8.426414773473915,ratio,2024,2024-12-31,,derived,['CENSUS_ACS5_BULK']
06013,Contra Costa,Market,observatory.affordability_ratios.home_value_to_income_ratio,Median home value to median household income,6.8129121505317185,ratio,2024,2024-12-31,,derived,['CENSUS_ACS5_BULK']
06041,Marin,Market,observatory.affordability_ratios.home_value_to_income_ratio,Median home value to median household income,10.109932859797036,ratio,2024,2024-12-31,,derived,['CENSUS_ACS5_BULK']
06055,Napa,Market,observatory.affordability_ratios.home_value_to_income_ratio,Median home value to median household income,7.800235038709619,ratio,2024,2024-12-31,,derived,['CENSUS_ACS5_BULK']
06075,San Francisco,Market,observatory.affordability_ratios.home_value_to_income_ratio,Median home value to median household income,9.892175640207137,ratio,2024,2024-12-31,,derived,['CENSUS_ACS5_BULK']
06081,San Mateo,Market,observatory.affordability_ratios.home_value_to_income_ratio,Median home value to median household income,9.81775833307104,ratio,2024,2024-12-31,,derived,['CENSUS_ACS5_BULK']
06085,Santa Clara,Market,observatory.affordability_ratios.home_value_to_income_ratio,Median home value to median household income,9.073477760666176,ratio,2024,2024-12-31,,derived,['CENSUS_ACS5_BULK']
06095,Solano,Market,observatory.affordability_ratios.home_value_to_income_ratio,Median home value to median household income,6.152329160068127,ratio,2024,2024-12-31,,derived,['CENSUS_ACS5_BULK']
