measure_key,module_id,module_version,module_label,domain,metric_id,metric_name,unit,frequency,derivation,formula,source_ids,source_tier,subgroup_dimension,geography_basis,history_start,notes
access.displacement_pressure.median_gross_rent,access,1.2.0,Housing Access & Displacement,displacement_pressure,median_gross_rent,Median gross rent,current dollars per month,annual five-year estimate,published,published,CENSUS_ACS5_BULK,1,none,,,ACS five-year estimate; consecutive vintages contain overlapping survey years. Reused from the verified Version 1.1 evidence layer.
access.displacement_pressure.renter_severe_overcrowding_pct,access,1.2.0,Housing Access & Displacement,displacement_pressure,renter_severe_overcrowding_pct,Renter households with more than 1.5 occupants per room,percent,annual five-year estimate,derived,B25014 renter categories above 1.50 occupants per room divided by renter-occupied units,CENSUS_ACS5_BULK,1,none,,,Transparent displacement-pressure component; no composite risk score is calculated.
access.displacement_pressure.renter_overcrowding_pct,access,1.2.0,Housing Access & Displacement,displacement_pressure,renter_overcrowding_pct,Renter households with more than one occupant per room,percent,annual five-year estimate,derived,B25014 renter categories above 1.00 occupants per room divided by renter-occupied units,CENSUS_ACS5_BULK,1,none,,,Transparent displacement-pressure component; no composite risk score is calculated.
access.displacement_pressure.renter_severe_cost_burden_50_plus_pct,access,1.2.0,Housing Access & Displacement,displacement_pressure,renter_severe_cost_burden_50_plus_pct,Renters spending at least 50% of income on rent,percent,annual five-year estimate,derived,B25070 50%+ category divided by computed cases,CENSUS_ACS5_BULK,1,none,,,Derived point estimate; no derived margin of error is asserted. Reused from the verified Version 1.1 evidence layer.
access.eviction_filings.unlawful_detainer_dispositions,access,1.2.0,Housing Access & Displacement,eviction_filings,unlawful_detainer_dispositions,Limited civil unlawful-detainer dispositions,court cases,annual fiscal year,published,published,CA_COURTS_COURT_STATISTICS,1,none,,,A court filing or disposition is not an executed eviction. Unlimited civil cases and informal displacement are not captured.
access.eviction_filings.unlawful_detainer_filings,access,1.2.0,Housing Access & Displacement,eviction_filings,unlawful_detainer_filings,Limited civil unlawful-detainer filings,court cases,annual fiscal year,published,published,CA_COURTS_COURT_STATISTICS,1,none,,,A court filing or disposition is not an executed eviction. Unlimited civil cases and informal displacement are not captured.
access.eviction_filings.unlawful_detainer_filings_per_1000_renter_households,access,1.2.0,Housing Access & Displacement,eviction_filings,unlawful_detainer_filings_per_1000_renter_households,"Limited civil unlawful-detainer filings per 1,000 renter households","filings per 1,000 renter households",annual fiscal year with ACS denominator,derived,"limited civil unlawful-detainer filings divided by same-vintage ACS renter households, multiplied by 1,000",CA_COURTS_COURT_STATISTICS;CENSUS_ACS5_BULK,1,none,,,"The ACS denominator is a five-year estimate aligned to the fiscal-year start, so this is an approximate exposure rate."
access.eviction_filings.renter_households,access,1.2.0,Housing Access & Displacement,eviction_filings,renter_households,Renter-occupied households,households,annual five-year estimate,published,published,CENSUS_ACS5_BULK,1,none,,,"ACS five-year estimate used as an exposure denominator, not a count of leases."
access.homelessness.pit_overall_homeless,access,1.2.0,Housing Access & Displacement,homelessness,pit_overall_homeless,PIT overall homelessness estimate,people,annual January point-in-time estimate,published,published,HUD_PIT,1,none,,,HUD count type: Sheltered and Unsheltered Count. Both sheltered and unsheltered components were counted for this cycle.
access.homelessness.pit_sheltered_homeless,access,1.2.0,Housing Access & Displacement,homelessness,pit_sheltered_homeless,PIT sheltered homelessness estimate,people,annual January point-in-time estimate,published,published,HUD_PIT,1,none,,,HUD count type: Sheltered and Unsheltered Count. Both sheltered and unsheltered components were counted for this cycle.
access.homelessness.pit_unsheltered_homeless,access,1.2.0,Housing Access & Displacement,homelessness,pit_unsheltered_homeless,PIT unsheltered homelessness estimate,people,annual January point-in-time estimate,published,published,HUD_PIT,1,none,,,HUD count type: Sheltered and Unsheltered Count. Both sheltered and unsheltered components were counted for this cycle.
access.homelessness.hic_emergency_transitional_safe_haven_beds,access,1.2.0,Housing Access & Displacement,homelessness,hic_emergency_transitional_safe_haven_beds,"Year-round emergency, transitional, and safe-haven beds",year-round beds,annual January inventory,published,published,HUD_HIC,1,none,,,"Inventory capacity is not the same as utilization, exits to housing, or unmet need."
access.homelessness.hic_permanent_supportive_housing_beds,access,1.2.0,Housing Access & Displacement,homelessness,hic_permanent_supportive_housing_beds,Year-round permanent supportive housing beds,year-round beds,annual January inventory,published,published,HUD_HIC,1,none,,,"Inventory capacity is not the same as utilization, exits to housing, or unmet need."
access.homelessness.hic_rapid_rehousing_beds,access,1.2.0,Housing Access & Displacement,homelessness,hic_rapid_rehousing_beds,Year-round rapid rehousing beds,year-round beds,annual January inventory,published,published,HUD_HIC,1,none,,,"Inventory capacity is not the same as utilization, exits to housing, or unmet need."
access.hud_assisted_housing.hud_assisted_household_income,access,1.2.0,Housing Access & Displacement,hud_assisted_housing,hud_assisted_household_income,Average annual income of HUD-assisted households,current dollars per year,annual program snapshot,published,published,HUD_PICTURE,1,none,,,Summary of all programs represented in HUD's Picture of Subsidized Households; it is not a census of every affordable unit.
access.hud_assisted_housing.hud_assisted_months_waiting,access,1.2.0,Housing Access & Displacement,hud_assisted_housing,hud_assisted_months_waiting,Average months on waiting list before admission,months,annual program snapshot,published,published,HUD_PICTURE,1,none,,,Summary of all programs represented in HUD's Picture of Subsidized Households; it is not a census of every affordable unit.
access.hud_assisted_housing.hud_assisted_extremely_low_income_pct,access,1.2.0,Housing Access & Displacement,hud_assisted_housing,hud_assisted_extremely_low_income_pct,HUD-assisted households below 30% of area median income,percent,annual program snapshot,published,published,HUD_PICTURE,1,none,,,Summary of all programs represented in HUD's Picture of Subsidized Households; it is not a census of every affordable unit.
