registry_key,module_id,module_version,source_id,publisher,dataset,source_tier,source_class,frequency,geography_basis,latest_period_end,retrieved_at,snapshot_count,status,landing_url
production.CA_HCD_APR_TABLE_A,production,1.3.0,CA_HCD_APR_TABLE_A,California Department of Housing and Community Development,Housing Element Annual Progress Report — Table A,1,government administrative data,annual with portal updates,,2025-12-31,2026-08-10T17:11:13Z,8,current for documented release or source vintage,https://www.hcd.ca.gov/housing-open-data-tools/apr-dashboard
access.CA_HCD_APR,access,1.2.0,CA_HCD_APR,California Department of Housing and Community Development,Housing Element Annual Progress Report — Table A2,1,government administrative data,annual with portal updates,,2025-12-31,2026-08-08T18:25:52Z,3,current for documented release cycle,https://www.hcd.ca.gov/housing-open-data-tools/apr-dashboard
observatory.CA_HCD_APR,observatory,1.1.0,CA_HCD_APR,California Department of Housing and Community Development,Housing Element Annual Progress Report — Table A2,1,government,annual with portal updates,,2025-12-31,2026-08-08T18:25:52Z,3,current for documented release cycle,https://www.hcd.ca.gov/housing-open-data-tools/apr-dashboard
production.CA_HCD_APR_TABLE_A2,production,1.3.0,CA_HCD_APR_TABLE_A2,California Department of Housing and Community Development,Housing Element Annual Progress Report — Table A2,1,government administrative data,annual with portal updates,,2025-12-31,2026-08-10T17:11:13Z,8,current for documented release or source vintage,https://www.hcd.ca.gov/housing-open-data-tools/apr-dashboard
production.CA_HCD_APR_TABLE_C,production,1.3.0,CA_HCD_APR_TABLE_C,California Department of Housing and Community Development,Housing Element Annual Progress Report — Table C,1,government administrative data,annual with portal updates,,2025-12-31,2026-08-10T17:11:13Z,1,current for documented release or source vintage,https://www.hcd.ca.gov/housing-open-data-tools/apr-dashboard
production.CA_HCD_HOUSING_ELEMENT_COMPLIANCE,production,1.3.0,CA_HCD_HOUSING_ELEMENT_COMPLIANCE,California Department of Housing and Community Development,Housing Element Compliance Report,1,government administrative status,current status with portal updates,,2026-08-10,2026-08-10T17:11:13Z,1,current for documented release or source vintage,https://www.hcd.ca.gov/housing-open-data-tools/housing-element-review-compliance-report
observatory.CA_HCD_RHNA,observatory,1.1.0,CA_HCD_RHNA,California Department of Housing and Community Development,Sixth-Cycle RHNA Progress Report,1,government,periodic,,2025-12-31,2026-08-08T18:25:52Z,2,current for documented release cycle,https://www.hcd.ca.gov/rhna
access.CA_HCD_RHNA,access,1.2.0,CA_HCD_RHNA,California Department of Housing and Community Development,Sixth-Cycle Regional Housing Needs Allocation,1,government planning allocation,planning cycle,,2031-01-31,2026-08-08T18:25:52Z,2,current for documented release cycle,https://www.hcd.ca.gov/rhna
production.CA_HCD_RHNA,production,1.3.0,CA_HCD_RHNA,California Department of Housing and Community Development,Sixth-Cycle Regional Housing Needs Allocation,1,government planning allocation,planning cycle,,2025-12-31,2026-08-08T18:25:52Z,2,current for documented release or source vintage,https://www.hcd.ca.gov/rhna
production.CA_LCI_STATEWIDE_ZONING,production,1.3.0,CA_LCI_STATEWIDE_ZONING,California Office of Land Use and Climate Innovation,California Statewide Zoning North,1,government compiled geospatial inventory,irregular,,2024-12-19,2026-08-10T17:11:13Z,1,current for documented release or source vintage,https://data.ca.gov/dataset/california-statewide-zoning-north
access.CA_COURTS_COURT_STATISTICS,access,1.2.0,CA_COURTS_COURT_STATISTICS,Judicial Council of California,Court Statistics Report — Filings and Dispositions,1,government administrative data,annual fiscal year,,2024-06-30,2026-08-08T22:49:09Z,1,current for documented release cycle,https://courts.ca.gov/policy-administration/research-analytics/data-statistics
observatory.REDFIN_HMT,observatory,1.1.0,REDFIN_HMT,Redfin,Housing Market Tracker — Monthly County Data,2,private primary-market source,monthly,,2026-06-30,2026-08-08T18:25:52Z,1,current for documented release cycle,https://www.redfin.com/news/data-center/housing-market/
access.CENSUS_ACS5_BULK,access,1.2.0,CENSUS_ACS5_BULK,U.S. Census Bureau,American Community Survey 5-Year Detailed Tables,1,government survey estimate,annual five-year estimate,,2026-09-30,2026-08-08T22:49:09Z,36,current for documented release cycle,https://www.census.gov/programs-surveys/acs/data.html
equity.CENSUS_ACS5_DETAIL,equity,1.4.0,CENSUS_ACS5_DETAIL,U.S. Census Bureau,American Community Survey 5-Year Detailed Tables,1,government survey estimate,annual rolling five-year estimate,household or person residence,,2026-08-10T21:40:54Z,69,accepted official release,https://www.census.gov/programs-surveys/acs/data.html
observatory.CENSUS_ACS5_BULK,observatory,1.1.0,CENSUS_ACS5_BULK,U.S. Census Bureau,American Community Survey 5-Year Detailed Tables,1,government,annual,,2024-12-31,2026-08-08T18:25:52Z,24,current for documented release cycle,https://www.census.gov/programs-surveys/acs/data.html
observatory.CENSUS_BPS,observatory,1.1.0,CENSUS_BPS,U.S. Census Bureau,Building Permits Survey,1,government,annual final,,2025-12-31,2026-08-08T18:25:52Z,5,current for documented release cycle,https://www.census.gov/construction/bps/
equity.CENSUS_LEHD_LODES,equity,1.4.0,CENSUS_LEHD_LODES,U.S. Census Bureau,"LEHD Origin-Destination Employment Statistics, LODES8",1,government administrative job estimate with disclosure protection,annual,"workplace and residence census block, aggregated to county",,2026-08-10T21:40:54Z,6,accepted official release,https://lehd.ces.census.gov/data/#lodes
access.HUD_FMR,access,1.2.0,HUD_FMR,U.S. Department of Housing and Urban Development,"FY 2026 Fair Market Rents, Revised",1,government modeled rent standard,federal fiscal year,,2026-09-30,2026-08-08T22:54:43Z,1,current for documented release cycle,https://www.huduser.gov/portal/datasets/fmr.html
equity.HUD_FMR,equity,1.4.0,HUD_FMR,U.S. Department of Housing and Urban Development,"FY 2026 Fair Market Rents, Revised",1,government modeled rent standard,federal fiscal year,HUD FMR area assigned to county,,2026-08-10T21:40:54Z,1,accepted official release,https://www.huduser.gov/portal/datasets/fmr.html
access.HUD_HIC,access,1.2.0,HUD_HIC,U.S. Department of Housing and Urban Development,Housing Inventory Count by Continuum of Care,1,government administrative inventory,annual January inventory,,2025-01-31,2026-08-08T22:54:43Z,1,current for documented release cycle,https://www.huduser.gov/portal/datasets/ahar/2025-ahar-part-1-pit-estimates-of-homelessness-in-the-us.html
access.HUD_PICTURE,access,1.2.0,HUD_PICTURE,U.S. Department of Housing and Urban Development,Picture of Subsidized Households — County Summary,1,government administrative inventory,annual,,2025-12-31,2026-08-08T22:54:43Z,4,current for documented release cycle,https://www.huduser.gov/portal/datasets/assthsg.html
access.HUD_PIT,access,1.2.0,HUD_PIT,U.S. Department of Housing and Urban Development,Point-in-Time Estimates by Continuum of Care,1,government administrative count,annual January count,,2025-01-31,2026-08-08T22:54:43Z,1,current for documented release cycle,https://www.huduser.gov/portal/datasets/ahar/2025-ahar-part-1-pit-estimates-of-homelessness-in-the-us.html
