domain,metric_id,metric_name,unit,subgroup_dimension,geography_basis,history_start,interpretation
age_and_tenure,homeownership_pct,Homeownership share,percent,age_of_householder,household residence,2022,Owner-occupied units divided by owner- plus renter-occupied units for the stated subgroup.
commuting_and_job_access,age_29_or_younger_job_share_pct,Primary jobs held by people age 29 or younger,percent,none,workplace county with home-work relation,2021,LODES primary jobs held by people age 29 or younger.
commuting_and_job_access,age_30_to_54_job_share_pct,Primary jobs held by people age 30 to 54,percent,none,workplace county with home-work relation,2021,LODES primary jobs held by people age 30 through 54.
commuting_and_job_access,age_55_plus_job_share_pct,Primary jobs held by people age 55 or older,percent,none,workplace county with home-work relation,2021,LODES primary jobs held by people age 55 or older.
commuting_and_job_access,commute_30_to_59_minutes_pct,Workers commuting 30 to 59 minutes,percent,none,person residence,2022,Workers with travel time from 30 through 59 minutes divided by workers who did not work from home.
commuting_and_job_access,commute_60_plus_minutes_pct,Workers commuting 60 minutes or more,percent,none,person residence,2022,Workers with travel time of 60 minutes or more divided by workers who did not work from home.
commuting_and_job_access,commute_under_30_minutes_pct,Workers commuting under 30 minutes,percent,none,person residence,2022,Workers with travel time under 30 minutes divided by workers who did not work from home.
commuting_and_job_access,high_monthly_earnings_job_share_pct,"Primary jobs paying more than $3,333 per month",percent,none,workplace county with home-work relation,2021,"LODES primary jobs in the over-$3,333 monthly earnings band."
commuting_and_job_access,inbound_job_share_pct,Inbound share of primary jobs,percent,none,workplace county with home-work relation,2021,Primary jobs located in the county with a home geocode outside the county divided by county primary jobs.
commuting_and_job_access,local_resident_job_share_pct,Same-county resident share of primary jobs,percent,none,workplace county with home-work relation,2021,Same-county home-and-work primary jobs divided by primary jobs located in the county.
commuting_and_job_access,local_resident_primary_jobs,Primary jobs held by same-county residents,primary jobs,none,workplace county with home-work relation,2021,Primary jobs whose workplace and home geocodes are in the same county.
commuting_and_job_access,low_monthly_earnings_job_share_pct,"Primary jobs paying $1,250 per month or less",percent,none,workplace county with home-work relation,2021,"LODES primary jobs in the $1,250-per-month-or-less earnings band."
commuting_and_job_access,middle_monthly_earnings_job_share_pct,"Primary jobs paying $1,251 to $3,333 per month",percent,none,workplace county with home-work relation,2021,"LODES primary jobs in the $1,251-to-$3,333 monthly earnings band."
commuting_and_job_access,other_california_inbound_primary_jobs,Primary jobs held by residents of another California county,primary jobs,none,workplace county with home-work relation,2021,Primary jobs located in the county whose home geocode is in another California county.
commuting_and_job_access,outside_california_inbound_primary_jobs,Primary jobs held by residents outside California,primary jobs,none,workplace county with home-work relation,2021,Primary jobs located in the county whose home geocode is outside California.
commuting_and_job_access,primary_jobs,Primary jobs located in county,primary jobs,none,workplace county with home-work relation,2021,LODES JT01 primary jobs located in the county.
commuting_and_job_access,public_transport_commute_pct,Workers using public transportation,percent,none,person residence,2022,Public-transportation commuters divided by workers age 16 and over.
commuting_and_job_access,worked_from_home_pct,Workers working from home,percent,none,person residence,2022,People working from home divided by workers age 16 and over.
education_and_earnings,earnings_coverage_2br_fmr_pct,Median earnings coverage of two-bedroom FMR income requirement,percent,educational_attainment,person residence compared with HUD FMR area,2022,Median annual earnings divided by the annual income required for FY2026 two-bedroom FMR at 30%.
education_and_earnings,homeownership_pct,Homeownership share,percent,educational_attainment_of_householder,household residence,2022,Owner-occupied units divided by owner- plus renter-occupied units for the stated subgroup.
education_and_earnings,median_annual_earnings,Median annual earnings,current dollars per year,educational_attainment,person residence,2022,ACS median annual earnings for the stated resident population; not household income or local-job pay.
education_and_earnings,monthly_gap_to_2br_fmr,Monthly gap between two-bedroom FMR and 30% of median earnings,current dollars per month,educational_attainment,person residence compared with HUD FMR area,2022,FY2026 two-bedroom FMR minus 30% of median annual earnings divided by 12.
household_type_and_housing,homeownership_pct,Homeownership share,percent,household_type,household residence,2022,Owner-occupied units divided by owner- plus renter-occupied units for the stated subgroup.
occupation_and_affordability,earnings_coverage_2br_fmr_pct,Median earnings coverage of two-bedroom FMR income requirement,percent,broad_occupation,person residence compared with HUD FMR area,2022,Median annual earnings divided by the annual income required for FY2026 two-bedroom FMR at 30%.
occupation_and_affordability,median_annual_earnings,Median annual earnings,current dollars per year,broad_occupation,person residence,2022,ACS median annual earnings for the stated resident population; not household income or local-job pay.
occupation_and_affordability,monthly_gap_to_2br_fmr,Monthly gap between two-bedroom FMR and 30% of median earnings,current dollars per month,broad_occupation,person residence compared with HUD FMR area,2022,FY2026 two-bedroom FMR minus 30% of median annual earnings divided by 12.
race_ethnicity_and_housing,homeownership_pct,Homeownership share,percent,race_ethnicity_of_householder,household residence,2022,Owner-occupied units divided by owner- plus renter-occupied units for the stated subgroup.
race_ethnicity_and_housing,housing_cost_burden_over_30_pct,Housing costs over 30% of household income,percent,race_ethnicity_of_householder,household residence,2023,Units with housing costs over 30% of household income divided by units with a computable ratio.
race_ethnicity_and_housing,housing_cost_burden_over_50_pct,Housing costs over 50% of household income,percent,race_ethnicity_of_householder,household residence,2023,Units with housing costs over 50% of household income divided by units with a computable ratio.
transportation_and_housing,zero_vehicle_households_pct,Occupied units with no vehicle available,percent,owner,household residence,2022,Occupied units with no vehicle available divided by occupied units for the stated tenure.
